Quantity,Item,Part,Price
,Adhesive Superglue,,
,BluTac,,
,Cable Ties 2mm,,
,Cable Tie Pads 2mm,,
,Double Sided Sticky Pads/Padded Tape,,
,Round Velcro pads,,
,Double Sided Velcro,,
,Sharpie Black,,
,Sharpie Silver,,
,Sugru,,
,Nupoint Dots,,
,Wipes,,
